Word: ' Inspired' | Start: 0.00s | End: 2.16s
Word: ' let' | Start: 468.08s | End: 468.20s
Word: ' the' | Start: 468.20s | End: 468.34s
Word: ' people' | Start: 468.34s | End: 468.62s
Word: ' decide.' | Start: 468.62s | End: 469.22s
Word: ' Let's' | Start: 469.22s | End: 469.34s
Word: ' let' | Start: 469.34s | End: 469.42s
Word: ' the' | Start: 469.42s | End: 469.56s
Word: ' people' | Start: 469.56s | End: 469.78s
Word: ' decide.' | Start: 469.78s | End: 470.38s
Word: ' Oh,' | Start: 470.66s | End: 470.84s
Word: ' first' | Start: 470.84s | End: 471.08s
Word: ' I' | Start: 471.08s | End: 471.22s
Word: ' should' | Start: 471.22s | End: 471.38s
Word: ' tell' | Start: 471.38s | End: 471.52s
Word: ' you' | Start: 471.52s | End: 471.64s
Word: ' guys' | Start: 471.64s | End: 471.84s
Word: ' how' | Start: 471.84s | End: 472.12s
Word: ' to' | Start: 472.12s | End: 472.30s
Word: ' interact' | Start: 472.30s | End: 472.76s
Word: ' with' | Start: 472.76s | End: 473.02s
Word: ' the' | Start: 473.02s | End: 473.18s
Word: ' stream' | Start: 473.18s | End: 473.46s
Word: ' today.' | Start: 473.46s | End: 473.92s
Word: ' So' | Start: 474.24s | End: 474.36s
Word: ' we' | Start: 474.36s | End: 474.62s
Word: ' don't' | Start: 474.62s | End: 474.88s
Word: ' really' | Start: 474.88s | End: 475.34s
Word: ' do' | Start: 475.34s | End: 475.60s
Word: ' like' | Start: 475.60s | End: 475.88s
Word: ' Twitch' | Start: 475.88s | End: 476.34s
Word: ' bits' | Start: 476.34s | End: 476.74s
Word: ' or' | Start: 476.74s | End: 476.98s
Word: ' hype' | Start: 476.98s | End: 477.20s
Word: ' trains' | Start: 477.20s | End: 477.58s
Word: ' or' | Start: 477.58s | End: 478.00s
Word: ' what' | Start: 478.00s | End: 479.76s
Word: ' are' | Start: 479.76s | End: 479.96s
Word: ' they' | Start: 479.96s | End: 480.06s
Word: ' called' | Start: 480.06s | End: 480.26s
Word: ' on' | Start: 480.26s | End: 480.46s
Word: ' YouTube?' | Start: 480.46s | End: 480.88s
Word: ' Super' | Start: 480.90s | End: 481.10s
Word: ' chats' | Start: 481.10s | End: 481.34s
Word: ' or' | Start: 481.34s | End: 481.50s
Word: ' anything' | Start: 481.50s | End: 481.68s
Word: ' like' | Start: 481.68s | End: 481.90s
Word: ' that.' | Start: 481.90s | End: 482.24s
Word: ' You' | Start: 482.48s | End: 482.58s
Word: ' want' | Start: 482.58s | End: 482.76s
Word: ' merch' | Start: 482.76s | End: 483.00s
Word: ' messages.' | Start: 483.00s | End: 483.44s
Word: ' When' | Start: 483.44s | End: 483.74s
Word: ' we' | Start: 483.74s | End: 483.90s
Word: ' are' | Start: 483.90s | End: 484.20s
Word: ' live,' | Start: 484.20s | End: 484.84s
Word: ' you' | Start: 484.84s | End: 484.90s
Word: ' can' | Start: 484.90s | End: 485.10s
Word: ' check' | Start: 485.10s | End: 485.38s
Word: ' out' | Start: 485.38s | End: 485.64s
Word: ' on' | Start: 485.64s | End: 485.84s
Word: ' LTTstore' | Start: 485.84s | End: 486.44s
Word: '.com' | Start: 486.44s | End: 486.96s
Word: ' and' | Start: 486.96s | End: 487.34s
Word: ' there' | Start: 487.34s | End: 487.46s
Word: ' should' | Start: 487.46s | End: 487.62s
Word: ' be' | Start: 487.62s | End: 487.74s
Word: ' a' | Start: 487.74s | End: 487.96s
Word: ' field' | Start: 487.96s | End: 488.44s
Word: ' to' | Start: 488.44s | End: 488.82s
Word: ' send' | Start: 488.82s | End: 489.00s
Word: ' a' | Start: 489.00s | End: 489.16s
Word: ' merch' | Start: 489.16s | End: 489.48s
Word: ' message.' | Start: 489.74s | End: 490.14s
Word: ' by' | Start: 490.92s | End: 491.02s
Word: ' our' | Start: 491.02s | End: 491.16s
Word: ' producer' | Start: 491.16s | End: 491.54s
Word: ' Dan,' | Start: 491.54s | End: 492.16s
Word: ' and' | Start: 492.16s | End: 492.60s
Word: ' he' | Start: 492.60s | End: 492.86s
Word: ' will' | Start: 492.86s | End: 493.10s
Word: ' let' | Start: 493.10s | End: 493.58s
Word: ' me' | Start: 493.58s | End: 493.76s
Word: ' know' | Start: 493.76s | End: 494.06s
Word: ' what' | Start: 494.20s | End: 494.26s
Word: ' you' | Start: 494.26s | End: 494.36s
Word: ' guys' | Start: 494.36s | End: 494.50s
Word: ' are' | Start: 494.50s | End: 494.62s
Word: ' sending' | Start: 494.62s | End: 494.82s
Word: ' in.' | Start: 494.82s | End: 495.10s
Word: ' Dan,' | Start: 495.10s | End: 495.54s
Word: ' I' | Start: 495.54s | End: 495.54s
Word: ' wanna' | Start: 495.54s | End: 495.72s
Word: ' try' | Start: 495.72s | End: 495.94s
Word: ' and' | Start: 495.94s | End: 496.08s
Word: ' stay' | Start: 496.08s | End: 496.26s
Word: ' kinda' | Start: 496.26s | End: 496.54s
Word: ' on' | Start: 496.54s | End: 496.78s
Word: ' top' | Start: 496.78s | End: 497.02s
Word: ' of' | Start: 497.02s | End: 497.22s
Word: ' them' | Start: 497.22s | End: 497.40s
Word: ' today,' | Start: 497.40s | End: 497.80s
Word: ' rather' | Start: 498.14s | End: 498.34s
Word: ' than' | Start: 498.34s | End: 498.52s
Word: ' doing' | Start: 498.52s | End: 498.70s
Word: ' them' | Start: 498.70s | End: 498.88s
Word: ' in' | Start: 498.88s | End: 499.04s
Word: ' batches,' | Start: 499.04s | End: 499.58s
Word: ' cause' | Start: 499.58s | End: 499.66s
Word: ' people' | Start: 499.66s | End: 499.92s
Word: ' may' | Start: 499.92s | End: 500.14s
Word: ' have' | Start: 500.14s | End: 500.38s
Word: ' some' | Start: 500.38s | End: 500.56s
Word: ' feedback' | Start: 500.56s | End: 500.98s
Word: ' on' | Start: 501.46s | End: 501.66s
Word: ' how' | Start: 501.66s | End: 501.88s
Word: ' things' | Start: 501.88s | End: 502.14s
Word: ' are' | Start: 502.14s | End: 502.26s
Word: ' going' | Start: 502.26s | End: 502.46s
Word: ' as' | Start: 502.46s | End: 503.12s
Word: ' we' | Start: 503.12s | End: 503.34s
Word: ' go.' | Start: 503.34s | End: 503.74s
Word: ' I' | Start: 503.92s | End: 504.02s
Word: ' think' | Start: 504.02s | End: 504.22s
Word: ' that' | Start: 504.22s | End: 504.42s
Word: ' I' | Start: 504.42s | End: 504.52s
Word: ' haven't' | Start: 504.52s | End: 504.74s
Word: ' really' | Start: 504.74s | End: 504.92s
Word: ' given' | Start: 504.92s | End: 505.08s
Word: ' you' | Start: 505.08s | End: 505.22s
Word: ' guys' | Start: 505.22s | End: 505.38s
Word: ' enough' | Start: 505.56s | End: 505.62s
Word: ' notice' | Start: 505.62s | End: 505.92s
Word: ' to' | Start: 505.92s | End: 506.10s
Word: ' choose' | Start: 506.10s | End: 506.38s
Word: ' the' | Start: 506.38s | End: 506.58s
Word: ' dice,' | Start: 506.58s | End: 507.02s
Word: ' so' | Start: 507.06s | End: 507.14s
Word: ' I'm' | Start: 507.14s | End: 507.48s
Word: ' gonna' | Start: 507.48s | End: 507.60s
Word: ' go' | Start: 507.60s | End: 507.76s
Word: ' ahead' | Start: 507.76s | End: 508.00s
Word: ' and' | Start: 508.00s | End: 508.18s
Word: ' choose' | Start: 508.18s | End: 508.44s
Word: ' this' | Start: 508.44s | End: 508.86s
Word: ' delightful' | Start: 509.24s | End: 509.78s
Word: ' silver' | Start: 509.78s | End: 510.46s
Word: ' and' | Start: 510.46s | End: 510.80s
Word: ' bronze' | Start: 510.80s | End: 511.28s
Word: ' set.' | Start: 511.28s | End: 511.82s
Word: ' I'm' | Start: 512.02s | End: 512.22s
Word: ' feeling' | Start: 512.22s | End: 513.34s
Word: ' this' | Start: 513.34s | End: 513.62s
Word: ' one.' | Start: 513.62s | End: 514.02s
Word: ' Yeah,' | Start: 514.44s | End: 514.70s
Word: ' those' | Start: 514.70s | End: 514.86s
Word: ' are' | Start: 514.86s | End: 514.94s
Word: ' my' | Start: 514.94s | End: 515.06s
Word: ' favorite' | Start: 515.06s | End: 515.30s
Word: ' too.' | Start: 515.30s | End: 515.62s
Word: ' It's' | Start: 515.72s | End: 515.90s
Word: ' got' | Start: 515.90s | End: 516.04s
Word: ' a' | Start: 516.04s | End: 516.52s
Word: ' good' | Start: 516.52s | End: 516.70s
Word: ' vibe,' | Start: 516.70s | End: 517.16s
Word: ' it's' | Start: 517.16s | End: 517.28s
Word: ' got' | Start: 517.28s | End: 517.38s
Word: ' a' | Start: 517.38s | End: 517.48s
Word: ' good' | Start: 517.48s | End: 517.62s
Word: ' vibe.' | Start: 517.62s | End: 518.00s
Word: ' Here,' | Start: 518.00s | End: 518.20s
Word: ' can' | Start: 518.20s | End: 518.28s
Word: ' I' | Start: 518.28s | End: 518.46s
Word: ' hand' | Start: 518.46s | End: 519.44s
Word: ' those' | Start: 519.44s | End: 519.62s
Word: ' off' | Start: 519.62s | End: 519.76s
Word: ' to' | Start: 519.76s | End: 519.92s
Word: ' you?' | Start: 519.92s | End: 520.04s
Word: ' Oh,' | Start: 520.04s | End: 520.30s
Word: ' thank' | Start: 520.30s | End: 520.40s
Word: ' you' | Start: 520.40s | End: 520.54s
Word: ' so' | Start: 520.54s | End: 520.72s
Word: ' much.' | Start: 520.72s | End: 521.16s
Word: ' All' | Start: 522.02s | End: 522.18s
Word: ' right.' | Start: 522.18s | End: 522.66s
Word: ' Not' | Start: 524.94s | End: 525.18s
Word: ' going' | Start: 525.18s | End: 525.34s
Word: ' to' | Start: 525.34s | End: 525.40s
Word: ' lie,' | Start: 525.40s | End: 525.70s
Word: ' I'm' | Start: 525.70s | End: 525.78s
Word: ' a' | Start: 525.78s | End: 525.86s
Word: ' little' | Start: 525.86s | End: 525.94s
Word: ' nervous.' | Start: 525.94s | End: 526.34s
Word: ' $16' | Start: 526.42s | End: 526.90s
Word: ',000' | Start: 526.90s | End: 527.50s
Word: ' is' | Start: 527.50s | End: 528.06s
Word: ' the' | Start: 528.06s | End: 528.16s
Word: ' maximum' | Start: 528.16s | End: 528.54s
Word: ' damage' | Start: 528.54s | End: 528.96s
Word: ' today?' | Start: 528.96s | End: 529.20s
Word: ' More' | Start: 529.20s | End: 529.22s
Word: ' like' | Start: 529.22s | End: 529.40s
Word: ' $17' | Start: 529.40s | End: 529.68s
Word: ',000.' | Start: 529.68s | End: 530.02s
Word: ' More' | Start: 530.30s | End: 530.44s
Word: ' like' | Start: 530.44s | End: 530.62s
Word: ' $17' | Start: 530.62s | End: 530.94s
Word: ',000.' | Start: 530.94s | End: 531.24s
Word: ' Thank' | Start: 531.34s | End: 531.34s
Word: ' you.' | Start: 531.34s | End: 531.50s
Word: ' That's' | Start: 531.54s | End: 531.68s
Word: ' really' | Start: 531.68s | End: 531.84s
Word: ' helpful,' | Start: 531.84s | End: 532.26s
Word: ' Alex.' | Start: 532.26s | End: 532.54s
Word: ' I' | Start: 532.54s | End: 532.62s
Word: ' appreciate' | Start: 532.62s | End: 532.90s
Word: ' that.' | Start: 532.90s | End: 533.42s
Word: ' Okay,' | Start: 534.32s | End: 534.72s
Word: ' where's' | Start: 534.72s | End: 534.98s
Word: ' our' | Start: 534.98s | End: 535.80s
Word: ' dice' | Start: 535.80s | End: 536.12s
Word: ' cam?' | Start: 536.12s | End: 536.54s
Word: ' Do' | Start: 536.54s | End: 536.62s
Word: ' we' | Start: 536.62s | End: 536.70s
Word: ' have' | Start: 536.70s | End: 537.14s
Word: ' a' | Start: 537.14s | End: 537.22s
Word: ' die' | Start: 537.22s | End: 537.40s
Word: ' cam?' | Start: 537.40s | End: 537.90s
Word: ' All' | Start: 538.94s | End: 539.14s
Word: ' right.' | Start: 539.14s | End: 539.56s
Word: ' Andy,' | Start: 539.84s | End: 540.12s
Word: ' do' | Start: 540.12s | End: 540.20s
Word: ' you' | Start: 540.20s | End: 540.26s
Word: ' want' | Start: 540.26s | End: 540.38s
Word: ' to' | Start: 540.38s | End: 540.50s
Word: ' take' | Start: 540.50s | End: 541.12s
Word: ' me?' | Start: 541.12s | End: 541.80s
Word: ' Andy,' | Start: 541.96s | End: 542.30s
Word: ' let's' | Start: 542.30s | End: 542.74s
Word: ' go' | Start: 542.74s | End: 542.82s
Word: ' to' | Start: 542.82s | End: 542.92s
Word: ' Andy.' | Start: 542.92s | End: 543.32s
Word: ' And' | Start: 544.32s | End: 544.44s
Word: ' then' | Start: 544.44s | End: 544.62s
Word: ' Andrew,' | Start: 544.62s | End: 545.20s
Word: ' you're' | Start: 545.20s | End: 545.40s
Word: ' going' | Start: 545.40s | End: 545.50s
Word: ' to' | Start: 545.50s | End: 545.54s
Word: ' be' | Start: 545.54s | End: 545.64s
Word: ' on.' | Start: 545.64s | End: 545.98s
Word: ' Let's' | Start: 545.98s | End: 546.14s
Word: ' have' | Start: 546.14s | End: 546.32s
Word: ' our' | Start: 546.32s | End: 546.56s
Word: ' screwdriver' | Start: 546.56s | End: 547.08s
Word: ' from' | Start: 547.08s | End: 547.30s
Word: ' ltdstore' | Start: 547.30s | End: 547.78s
Word: '.com' | Start: 547.78s | End: 548.10s
Word: ' in' | Start: 548.10s | End: 548.22s
Word: ' the' | Start: 548.22s | End: 548.30s
Word: ' shot' | Start: 548.30s | End: 548.50s
Word: ' here.' | Start: 548.50s | End: 548.92s
Word: ' All' | Start: 549.26s | End: 549.46s
Word: ' right.' | Start: 549.46s | End: 550.02s
Word: ' die' | Start: 550.14s | End: 550.38s
Word: ' cam' | Start: 550.38s | End: 550.66s
Word: ' here' | Start: 550.66s | End: 551.34s
Word: ' we' | Start: 551.34s | End: 551.46s
Word: ' go' | Start: 551.46s | End: 551.68s
Word: ' for' | Start: 551.68s | End: 552.52s
Word: ' case' | Start: 552.52s | End: 552.86s
Word: ' three' | Start: 552.86s | End: 555.04s
Word: ' okay' | Start: 555.04s | End: 557.02s
Word: ' it' | Start: 557.02s | End: 558.30s
Word: ' looks' | Start: 558.30s | End: 558.66s
Word: ' like' | Start: 558.66s | End: 558.96s
Word: ' you're' | Start: 558.96s | End: 559.26s
Word: ' getting' | Start: 559.26s | End: 559.54s
Word: ' the' | Start: 559.54s | End: 560.20s
Word: ' duck' | Start: 560.20s | End: 560.58s
Word: ' hunt' | Start: 560.58s | End: 560.86s
Word: ' special' | Start: 560.86s | End: 561.46s
Word: ' from' | Start: 562.04s | End: 562.28s
Word: ' scrapyard' | Start: 562.28s | End: 562.84s
Word: ' wars' | Start: 562.84s | End: 563.16s
Word: ' alex' | Start: 563.16s | End: 563.60s
Word: ' do' | Start: 563.60s | End: 563.74s
Word: ' you' | Start: 563.74s | End: 563.82s
Word: ' want' | Start: 563.82s | End: 563.98s
Word: ' to' | Start: 563.98s | End: 564.18s
Word: ' uh' | Start: 564.18s | End: 564.44s
Word: ' clear' | Start: 564.44s | End: 564.72s
Word: ' out' | Start: 564.72s | End: 564.92s
Word: ' the' | Start: 564.92s | End: 565.08s
Word: ' rest' | Start: 565.08s | End: 565.26s
Word: ' of' | Start: 565.26s | End: 565.38s
Word: ' these' | Start: 565.38s | End: 565.52s
Word: ' what's' | Start: 565.52s | End: 565.82s
Word: ' this' | Start: 565.82s | End: 565.90s
Word: ' from' | Start: 565.90s | End: 566.16s
Word: ' scrapyard' | Start: 566.18s | End: 566.52s
Word: ' wars' | Start: 566.52s | End: 566.76s
Word: ' or' | Start: 566.76s | End: 567.00s
Word: ' from' | Start: 567.00s | End: 567.32s
Word: ' tech' | Start: 567.32s | End: 567.64s
Word: ' showdown' | Start: 567.64s | End: 568.04s
Word: ' i' | Start: 568.04s | End: 568.82s
Word: ' can't' | Start: 568.82s | End: 569.06s
Word: ' remember' | Start: 569.06s | End: 569.32s
Word: ' but' | Start: 569.32s | End: 569.62s
Word: ' there's' | Start: 569.62s | End: 570.18s
Word: ' a' | Start: 570.18s | End: 570.24s
Word: ' video' | Start: 570.24s | End: 570.44s
Word: ' where' | Start: 570.44s | End: 570.66s
Word: ' i' | Start: 570.66s | End: 570.78s
Word: ' built' | Start: 570.78s | End: 571.00s
Word: ' it' | Start: 571.00s | End: 571.22s
Word: ' and' | Start: 571.24s | End: 571.40s
Word: ' the' | Start: 571.40s | End: 571.52s
Word: ' theme' | Start: 571.52s | End: 571.80s
Word: ' was' | Start: 571.80s | End: 572.28s
Word: ' retro' | Start: 572.28s | End: 573.12s
Word: ' pixels' | Start: 573.12s | End: 573.68s
Word: ' pixels' | Start: 573.68s | End: 574.20s
Word: ' the' | Start: 574.20s | End: 574.40s
Word: ' theme' | Start: 574.40s | End: 574.58s
Word: ' was' | Start: 574.58s | End: 574.74s
Word: ' pixels' | Start: 574.74s | End: 575.16s
Word: ' and' | Start: 575.16s | End: 575.92s
Word: ' i' | Start: 575.92s | End: 576.04s
Word: ' also' | Start: 576.04s | End: 576.28s
Word: ' have' | Start: 576.28s | End: 576.56s
Word: ' a' | Start: 576.56s | End: 576.78s
Word: ' pong' | Start: 576.78s | End: 577.18s
Word: ' game' | Start: 577.18s | End: 577.62s
Word: ' that' | Start: 577.62s | End: 578.02s
Word: ' is' | Start: 578.02s | End: 578.20s
Word: ' uh' | Start: 578.20s | End: 578.46s
Word: ' sort' | Start: 578.80s | End: 579.40s
Word: ' of' | Start: 579.40s | End: 579.58s
Word: ' happening' | Start: 579.58s | End: 579.94s
Word: ' on' | Start: 579.94s | End: 580.46s
Word: ' the' | Start: 580.46s | End: 580.56s
Word: ' side' | Start: 580.56s | End: 580.78s
Word: ' here.' | Start: 580.78s | End: 581.20s
Word: ' Do' | Start: 582.14s | End: 582.18s
Word: ' we' | Start: 582.18s | End: 582.28s
Word: ' have' | Start: 582.28s | End: 582.42s
Word: ' other' | Start: 582.42s | End: 582.60s
Word: ' helpers' | Start: 582.60s | End: 582.98s
Word: ' to' | Start: 582.98s | End: 583.12s
Word: ' help' | Start: 583.12s | End: 583.24s
Word: ' us' | Start: 583.24s | End: 583.50s
Word: ' clear' | Start: 583.50s | End: 584.56s
Word: ' out' | Start: 584.56s | End: 584.82s
Word: ' the' | Start: 584.82s | End: 585.08s
Word: ' ones' | Start: 585.08s | End: 585.60s
Word: ' that' | Start: 585.60s | End: 585.78s
Word: ' didn't' | Start: 585.78s | End: 586.12s
Word: ' get' | Start: 586.12s | End: 586.60s
Word: ' drawn' | Start: 586.60s | End: 587.20s
Word: ' or' | Start: 587.20s | End: 587.36s
Word: ' anything' | Start: 587.36s | End: 587.54s
Word: ' like' | Start: 587.54s | End: 587.76s
Word: ' that?' | Start: 587.76s | End: 587.98s
Word: ' Awesome!' | Start: 588.30s | End: 588.68s
Word: ' Let's' | Start: 588.68s | End: 589.14s
Word: ' go' | Start: 589.14s | End: 589.28s
Word: ' ahead.' | Start: 589.28s | End: 589.64s
Word: ' I' | Start: 589.84s | End: 589.84s
Word: ' don't' | Start: 589.84s | End: 590.14s
Word: ' think' | Start: 590.14s | End: 590.28s
Word: ' I'm' | Start: 590.28s | End: 590.54s
Word: ' gonna' | Start: 590.54s | End: 590.72s
Word: ' re' | Start: 590.72s | End: 590.96s
Word: '-roll.' | Start: 590.96s | End: 591.22s
Word: ' I' | Start: 591.22s | End: 591.32s
Word: ' don't' | Start: 591.32s | End: 591.46s
Word: ' think' | Start: 591.46s | End: 591.58s
Word: ' I' | Start: 591.58s | End: 591.70s
Word: ' need' | Start: 591.70s | End: 591.86s
Word: ' advantage.' | Start: 591.86s | End: 592.36s
Word: ' I'm' | Start: 592.36s | End: 592.50s
Word: ' pretty' | Start: 592.50s | End: 592.64s
Word: ' happy' | Start: 592.64s | End: 592.94s
Word: ' with' | Start: 592.94s | End: 593.14s
Word: ' this' | Start: 593.14s | End: 593.34s
Word: ' choice.' | Start: 593.34s | End: 593.84s
Word: ' But' | Start: 594.18s | End: 594.24s
Word: ' I' | Start: 594.24s | End: 594.34s
Word: ' think' | Start: 594.34s | End: 594.48s
Word: ' it's' | Start: 594.48s | End: 594.66s
Word: ' time' | Start: 594.66s | End: 594.82s
Word: ' for' | Start: 594.82s | End: 594.98s
Word: ' us' | Start: 594.98s | End: 595.12s
Word: ' to' | Start: 595.12s | End: 595.24s
Word: ' move' | Start: 595.24s | End: 595.42s
Word: ' on' | Start: 595.42s | End: 595.56s
Word: ' to' | Start: 595.56s | End: 595.72s
Word: ' our' | Start: 595.72s | End: 595.98s
Word: ' next' | Start: 595.98s | End: 596.40s
Word: ' component.' | Start: 596.40s | End: 597.20s
Word: ' What' | Start: 597.54s | End: 597.64s
Word: ' was' | Start: 597.64s | End: 597.74s
Word: ' it' | Start: 597.74s | End: 597.84s
Word: ' you' | Start: 597.84s | End: 597.94s
Word: ' had' | Start: 597.94s | End: 598.12s
Word: ' in' | Start: 598.12s | End: 598.24s
Word: ' mind' | Start: 598.24s | End: 598.48s
Word: ' next?' | Start: 598.48s | End: 598.98s
Word: ' I' | Start: 599.00s | End: 599.04s
Word: ' was' | Start: 599.04s | End: 599.22s
Word: ' looking' | Start: 599.22s | End: 599.34s
Word: ' at' | Start: 599.34s | End: 599.50s
Word: ' motherboard.' | Start: 599.50s | End: 599.90s
Word: ' CPU.' | Start: 600.00s | End: 600.92s
Word: ' All' | Start: 600.92s | End: 600.98s
Word: ' right,' | Start: 600.98s | End: 601.26s
Word: ' let's' | Start: 601.26s | End: 601.40s
Word: ' go' | Start: 601.40s | End: 601.50s
Word: ' Andrew.' | Start: 601.50s | End: 602.44s
Word: ' Chase,' | Start: 602.44s | End: 603.44s
Word: ' you're' | Start: 603.44s | End: 603.56s
Word: ' on' | Start: 603.56s | End: 603.80s
Word: ' feeding' | Start: 603.80s | End: 604.12s
Word: ' or' | Start: 604.12s | End: 604.36s
Word: ' okay,' | Start: 604.36s | End: 604.84s
Word: ' Alex' | Start: 604.84s | End: 605.02s
Word: ' is' | Start: 605.02s | End: 605.18s
Word: ' on' | Start: 605.18s | End: 605.32s
Word: ' that.' | Start: 605.32s | End: 606.00s
Word: ' All' | Start: 606.50s | End: 606.70s
Word: ' right,' | Start: 606.70s | End: 607.12s
Word: ' Duck' | Start: 607.12s | End: 607.32s
Word: ' Hunt,' | Start: 607.32s | End: 607.58s
Word: ' let's' | Start: 607.58s | End: 607.78s
Word: ' go.' | Start: 607.78s | End: 608.26s
Word: ' Not' | Start: 608.26s | End: 608.52s
Word: ' bad.' | Start: 608.52s | End: 609.08s
Word: ' Oh,' | Start: 609.08s | End: 609.88s
Word: ' how' | Start: 609.88s | End: 609.98s
Word: ' many,' | Start: 609.98s | End: 610.22s
Word: ' how' | Start: 610.22s | End: 610.64s
Word: ' many' | Start: 610.64s | End: 610.84s
Word: ' sided' | Start: 610.84s | End: 611.24s
Word: ' died?' | Start: 611.24s | End: 611.80s
Word: ' Oh,' | Start: 611.84s | End: 612.02s
Word: ' I' | Start: 612.02s | End: 612.06s
Word: ' need' | Start: 612.06s | End: 612.20s
Word: ' a' | Start: 612.20s | End: 612.32s
Word: ' dodecahedron.' | Start: 612.32s | End: 613.38s
Word: ' Do' | Start: 613.38s | End: 613.92s
Word: ' you' | Start: 613.92s | End: 613.98s
Word: ' mind' | Start: 613.98s | End: 614.10s
Word: ' throwing' | Start: 614.10s | End: 614.30s
Word: ' me' | Start: 614.30s | End: 614.46s
Word: ' the' | Start: 614.46s | End: 614.60s
Word: ' die' | Start: 614.60s | End: 614.78s
Word: ' container,' | Start: 614.78s | End: 615.28s
Word: ' please?' | Start: 615.28s | End: 615.88s
Word: ' Awesome.' | Start: 617.80s | End: 618.50s
Word: ' All' | Start: 619.52s | End: 619.66s
Word: ' right,' | Start: 619.66s | End: 619.82s
Word: ' now' | Start: 619.82s | End: 619.94s
Word: ' I'm' | Start: 619.94s | End: 620.28s
Word: ' not' | Start: 620.28s | End: 620.66s
Word: ' actually' | Start: 620.66s | End: 621.36s
Word: ' a' | Start: 621.36s | End: 621.68s
Word: ' D' | Start: 621.68s | End: 621.80s
Word: '&D' | Start: 621.80s | End: 622.16s
Word: ' player,' | Start: 622.16s | End: 622.80s
Word: ' so' | Start: 622.80s | End: 623.18s
Word: ' you'll' | Start: 623.18s | End: 623.40s
Word: ' have' | Start: 623.40s | End: 623.52s
Word: ' to' | Start: 623.52s | End: 623.68s
Word: ' forgive' | Start: 623.68s | End: 623.94s
Word: ' me.' | Start: 623.94s | End: 624.30s
Word: ' I' | Start: 624.32s | End: 624.36s
Word: ' may' | Start: 624.36s | End: 624.48s
Word: ' not' | Start: 624.48s | End: 624.68s
Word: ' immediately' | Start: 624.68s | End: 625.36s
Word: ' recognize' | Start: 625.36s | End: 625.92s
Word: ' which' | Start: 625.92s | End: 626.44s
Word: ' dice' | Start: 626.44s | End: 626.70s
Word: ' are' | Start: 626.70s | End: 626.92s
Word: ' appropriate' | Start: 626.92s | End: 627.34s
Word: ' for' | Start: 627.34s | End: 627.64s
Word: ' which' | Start: 627.64s | End: 627.84s
Word: ' number' | Start: 627.84s | End: 628.08s
Word: ' of' | Start: 628.08s | End: 628.26s
Word: ' sides' | Start: 628.26s | End: 628.50s
Word: ' I' | Start: 628.50s | End: 628.70s
Word: ' need,' | Start: 628.70s | End: 629.00s
Word: ' but' | Start: 628.88s | End: 629.28s
Word: ' I'm' | Start: 629.28s | End: 629.42s
Word: ' pretty' | Start: 629.42s | End: 629.72s
Word: ' sure' | Start: 629.72s | End: 630.00s
Word: ' I' | Start: 630.00s | End: 630.20s
Word: ' need' | Start: 630.20s | End: 630.36s
Word: ' this' | Start: 630.36s | End: 630.60s
Word: ' one.' | Start: 630.60s | End: 631.34s
Word: ' Nope,' | Start: 631.34s | End: 633.68s
Word: ' that's' | Start: 633.68s | End: 633.90s
Word: ' 12.' | Start: 633.90s | End: 634.44s
Word: ' Crap.' | Start: 634.44s | End: 635.56s
Word: ' This' | Start: 635.56s | End: 637.42s
Word: ' is' | Start: 637.42s | End: 637.56s
Word: ' embarrassing.' | Start: 637.56s | End: 638.62s
Word: ' This' | Start: 640.88s | End: 641.38s
Word: ' appears' | Start: 641.38s | End: 641.70s
Word: ' to' | Start: 641.70s | End: 641.88s
Word: ' be' | Start: 641.88s | End: 642.00s
Word: ' 10' | Start: 642.00s | End: 642.26s
Word: '-sided,' | Start: 642.26s | End: 643.08s
Word: ' right?' | Start: 643.08s | End: 643.88s
Word: ' Yes.' | Start: 643.88s | End: 645.06s
Word: ' It's' | Start: 645.06s | End: 646.06s
Word: ' from' | Start: 646.06s | End: 646.82s
Word: ' 10,' | Start: 646.82s | End: 647.34s
Word: ' from' | Start: 647.34s | End: 647.50s
Word: ' 0' | Start: 647.50s | End: 648.00s
Word: ' to' | Start: 648.00s | End: 648.34s
Word: ' 90.' | Start: 648.34s | End: 649.42s
Word: ' Yeah,' | Start: 649.42s | End: 650.08s
Word: ' that'll' | Start: 650.08s | End: 650.28s
Word: ' work.' | Start: 650.28s | End: 650.62s
Word: ' That'll' | Start: 650.62s | End: 651.16s
Word: ' work.' | Start: 651.18s | End: 651.36s
Word: ' We' | Start: 651.36s | End: 651.44s
Word: ' good?' | Start: 651.44s | End: 652.00s
Word: ' We' | Start: 652.00s | End: 652.44s
Word: ' good?' | Start: 652.44s | End: 653.40s
Word: ' All' | Start: 653.40s | End: 654.00s
Word: ' right.' | Start: 654.00s | End: 654.60s
Word: ' Is' | Start: 654.60s | End: 655.00s
Word: ' there,' | Start: 655.00s | End: 655.16s
Word: ' is' | Start: 655.16s | End: 655.30s
Word: ' there' | Start: 655.30s | End: 655.48s
Word: ' like' | Start: 655.48s | End: 655.70s
Word: ' an' | Start: 655.70s | End: 655.88s
Word: ' alternate' | Start: 655.88s | End: 656.24s
Word: ' way' | Start: 656.24s | End: 656.56s
Word: ' to' | Start: 656.56s | End: 656.74s
Word: ' do' | Start: 656.74s | End: 656.96s
