Word: ' bar' | Start: 0.04s | End: 0.34s
Word: ' has' | Start: 2137.26s | End: 2137.50s
Word: ' a' | Start: 2137.50s | End: 2137.66s
Word: ' really' | Start: 2137.66s | End: 2137.84s
Word: ' cool' | Start: 2137.84s | End: 2138.04s
Word: ' series' | Start: 2138.04s | End: 2138.42s
Word: ' running' | Start: 2138.42s | End: 2138.70s
Word: ' right' | Start: 2138.70s | End: 2138.94s
Word: ' now.' | Start: 2138.94s | End: 2139.38s
Word: ' He' | Start: 2139.46s | End: 2139.54s
Word: ' manages' | Start: 2139.54s | End: 2139.90s
Word: ' the' | Start: 2139.90s | End: 2140.22s
Word: ' floatplane' | Start: 2140.22s | End: 2140.62s
Word: ' content' | Start: 2140.62s | End: 2140.96s
Word: ' for' | Start: 2140.96s | End: 2141.22s
Word: ' us.' | Start: 2141.22s | End: 2141.54s
Word: ' he's' | Start: 2141.44s | End: 2142.16s
Word: ' got' | Start: 2142.16s | End: 2142.24s
Word: ' a' | Start: 2142.24s | End: 2142.34s
Word: ' really' | Start: 2142.34s | End: 2142.48s
Word: ' cool' | Start: 2142.48s | End: 2142.66s
Word: ' series' | Start: 2142.66s | End: 2142.98s
Word: ' called' | Start: 2142.98s | End: 2143.24s
Word: ' why' | Start: 2143.24s | End: 2143.46s
Word: ' is' | Start: 2143.46s | End: 2143.64s
Word: ' wan' | Start: 2143.64s | End: 2143.84s
Word: ' late' | Start: 2143.84s | End: 2144.08s
Word: ' where' | Start: 2144.08s | End: 2144.28s
Word: ' he' | Start: 2144.28s | End: 2144.40s
Word: ' kind' | Start: 2144.40s | End: 2144.62s
Word: ' of' | Start: 2144.62s | End: 2144.84s
Word: ' looks' | Start: 2145.22s | End: 2145.66s
Word: ' at' | Start: 2145.66s | End: 2145.86s
Word: ' the' | Start: 2145.86s | End: 2146.10s
Word: ' behind' | Start: 2146.10s | End: 2146.46s
Word: ' the' | Start: 2146.46s | End: 2146.62s
Word: ' scenes' | Start: 2146.62s | End: 2146.90s
Word: ' of' | Start: 2146.90s | End: 2147.14s
Word: ' what's' | Start: 2147.14s | End: 2147.38s
Word: ' going' | Start: 2147.38s | End: 2147.56s
Word: ' on' | Start: 2147.56s | End: 2147.74s
Word: ' around' | Start: 2147.74s | End: 2147.98s
Word: ' here' | Start: 2147.98s | End: 2148.26s
Word: ' on' | Start: 2148.26s | End: 2148.44s
Word: ' a' | Start: 2148.44s | End: 2148.54s
Word: ' friday' | Start: 2148.54s | End: 2148.80s
Word: ' afternoon' | Start: 2148.80s | End: 2149.30s
Word: ' but' | Start: 2149.98s | End: 2151.18s
Word: ' none' | Start: 2151.18s | End: 2151.42s
Word: ' of' | Start: 2151.42s | End: 2151.58s
Word: ' that' | Start: 2151.58s | End: 2151.86s
Word: ' is' | Start: 2151.86s | End: 2152.16s
Word: ' critical' | Start: 2152.16s | End: 2152.60s
Word: ' that's' | Start: 2152.60s | End: 2153.66s
Word: ' fun' | Start: 2153.66s | End: 2154.02s
Word: ' but' | Start: 2154.02s | End: 2154.68s
Word: ' you' | Start: 2154.68s | End: 2154.76s
Word: ' don't' | Start: 2154.76s | End: 2155.02s
Word: ' you' | Start: 2155.02s | End: 2155.28s
Word: ' don't' | Start: 2155.28s | End: 2155.50s
Word: ' need' | Start: 2155.50s | End: 2155.80s
Word: ' it' | Start: 2155.80s | End: 2156.04s
Word: ' to' | Start: 2156.04s | End: 2156.42s
Word: ' make' | Start: 2156.42s | End: 2156.72s
Word: ' a' | Start: 2156.72s | End: 2156.84s
Word: ' good' | Start: 2156.84s | End: 2157.08s
Word: ' make' | Start: 2157.34s | End: 2157.52s
Word: ' a' | Start: 2157.52s | End: 2157.62s
Word: ' good' | Start: 2157.62s | End: 2157.76s
Word: ' decision' | Start: 2157.76s | End: 2158.12s
Word: ' you' | Start: 2158.12s | End: 2158.52s
Word: ' know' | Start: 2158.52s | End: 2158.66s
Word: ' you' | Start: 2158.66s | End: 2159.64s
Word: ' don't' | Start: 2159.64s | End: 2159.84s
Word: ' need' | Start: 2159.84s | End: 2160.08s
Word: ' it' | Start: 2160.08s | End: 2160.24s
Word: ' to' | Start: 2160.24s | End: 2160.54s
Word: ' help' | Start: 2160.54s | End: 2161.10s
Word: ' your' | Start: 2161.10s | End: 2161.26s
Word: ' friends' | Start: 2161.26s | End: 2161.62s
Word: ' build' | Start: 2161.62s | End: 2162.34s
Word: ' the' | Start: 2162.34s | End: 2162.46s
Word: ' best' | Start: 2162.46s | End: 2162.66s
Word: ' gaming' | Start: 2162.66s | End: 2162.94s
Word: ' computer' | Start: 2162.98s | End: 2163.36s
Word: ' for' | Start: 2163.36s | End: 2163.58s
Word: ' the' | Start: 2163.58s | End: 2163.68s
Word: ' money.' | Start: 2163.68s | End: 2164.18s
Word: ' And' | Start: 2164.18s | End: 2166.06s
Word: ' so' | Start: 2166.06s | End: 2166.28s
Word: ' I've' | Start: 2166.28s | End: 2166.64s
Word: ' always' | Start: 2166.64s | End: 2166.92s
Word: ' just' | Start: 2166.92s | End: 2167.16s
Word: ' felt' | Start: 2167.16s | End: 2167.48s
Word: ' like,' | Start: 2167.48s | End: 2168.20s
Word: ' yeah,' | Start: 2168.20s | End: 2169.10s
Word: ' we' | Start: 2169.10s | End: 2169.56s
Word: ' could' | Start: 2169.56s | End: 2169.92s
Word: ' do' | Start: 2169.92s | End: 2170.14s
Word: ' a' | Start: 2170.14s | End: 2170.34s
Word: ' course' | Start: 2170.34s | End: 2170.72s
Word: ' on' | Start: 2170.72s | End: 2171.48s
Word: ' how' | Start: 2171.48s | End: 2172.00s
Word: ' to' | Start: 2172.00s | End: 2172.14s
Word: ' build' | Start: 2172.24s | End: 2172.36s
Word: ' a' | Start: 2172.36s | End: 2172.48s
Word: ' computer' | Start: 2172.48s | End: 2172.90s
Word: ' or' | Start: 2172.90s | End: 2173.34s
Word: ' whatever.' | Start: 2173.34s | End: 2173.90s
Word: ' We' | Start: 2173.90s | End: 2174.26s
Word: ' could' | Start: 2174.26s | End: 2174.44s
Word: ' do' | Start: 2174.44s | End: 2174.60s
Word: ' a' | Start: 2174.60s | End: 2174.72s
Word: ' course' | Start: 2174.72s | End: 2174.98s
Word: ' on,' | Start: 2174.98s | End: 2175.44s
Word: ' you' | Start: 2175.44s | End: 2176.46s
Word: ' know,' | Start: 2176.46s | End: 2176.68s
Word: ' tech' | Start: 2176.68s | End: 2176.88s
Word: ' knowledge.' | Start: 2176.88s | End: 2177.50s
Word: ' But' | Start: 2177.50s | End: 2179.66s
Word: ' how' | Start: 2179.66s | End: 2179.88s
Word: ' do' | Start: 2179.88s | End: 2180.00s
Word: ' we' | Start: 2180.00s | End: 2180.10s
Word: ' differentiate' | Start: 2180.28s | End: 2180.58s
Word: ' that' | Start: 2180.58s | End: 2181.06s
Word: ' from' | Start: 2181.06s | End: 2181.46s
Word: ' our' | Start: 2181.46s | End: 2181.60s
Word: ' standard' | Start: 2181.60s | End: 2181.94s
Word: ' content' | Start: 2181.94s | End: 2182.50s
Word: ' that' | Start: 2182.50s | End: 2183.20s
Word: ' is' | Start: 2183.20s | End: 2183.46s
Word: ' our' | Start: 2183.46s | End: 2183.62s
Word: ' bread' | Start: 2183.62s | End: 2183.82s
Word: ' and' | Start: 2183.82s | End: 2183.96s
Word: ' butter' | Start: 2183.96s | End: 2184.20s
Word: ' and' | Start: 2184.20s | End: 2184.38s
Word: ' is' | Start: 2184.38s | End: 2184.52s
Word: ' the' | Start: 2184.52s | End: 2184.68s
Word: ' reason' | Start: 2184.68s | End: 2185.04s
Word: ' that' | Start: 2185.04s | End: 2185.42s
Word: ' you' | Start: 2185.50s | End: 2185.82s
Word: ' guys' | Start: 2185.82s | End: 2186.10s
Word: ' engage' | Start: 2186.10s | End: 2186.46s
Word: ' with' | Start: 2186.46s | End: 2186.68s
Word: ' us.' | Start: 2186.68s | End: 2187.24s
Word: ' And' | Start: 2187.24s | End: 2188.70s
Word: ' how' | Start: 2188.70s | End: 2189.00s
Word: ' do' | Start: 2189.00s | End: 2189.14s
Word: ' we' | Start: 2189.14s | End: 2189.28s
Word: ' make' | Start: 2189.28s | End: 2189.48s
Word: ' that' | Start: 2189.48s | End: 2189.78s
Word: ' not' | Start: 2189.78s | End: 2190.10s
Word: ' just' | Start: 2190.10s | End: 2190.50s
Word: ' kind' | Start: 2190.50s | End: 2190.72s
Word: ' of' | Start: 2190.72s | End: 2190.88s
Word: ' a,' | Start: 2190.88s | End: 2191.44s
Word: ' how' | Start: 2191.44s | End: 2193.56s
Word: ' do' | Start: 2193.56s | End: 2193.68s
Word: ' we,' | Start: 2193.68s | End: 2193.86s
Word: ' how' | Start: 2193.86s | End: 2194.06s
Word: ' do' | Start: 2194.06s | End: 2194.18s
Word: ' we' | Start: 2194.18s | End: 2194.26s
Word: ' justify' | Start: 2194.26s | End: 2194.66s
Word: ' charging' | Start: 2194.98s | End: 2195.38s
Word: ' for' | Start: 2195.38s | End: 2195.78s
Word: ' what' | Start: 2195.78s | End: 2196.02s
Word: ' we' | Start: 2196.02s | End: 2196.16s
Word: ' would' | Start: 2196.16s | End: 2196.32s
Word: ' normally' | Start: 2196.32s | End: 2196.62s
Word: ' give' | Start: 2196.62s | End: 2196.86s
Word: ' you' | Start: 2196.86s | End: 2197.06s
Word: ' for' | Start: 2197.06s | End: 2197.34s
Word: ' free?' | Start: 2197.34s | End: 2197.82s
Word: ' So' | Start: 2197.82s | End: 2198.36s
Word: ' we' | Start: 2198.36s | End: 2198.54s
Word: ' would' | Start: 2198.54s | End: 2198.68s
Word: ' have' | Start: 2198.68s | End: 2198.84s
Word: ' to' | Start: 2198.84s | End: 2198.96s
Word: ' come' | Start: 2198.96s | End: 2199.14s
Word: ' up' | Start: 2199.14s | End: 2199.26s
Word: ' with' | Start: 2199.26s | End: 2199.38s
Word: ' a' | Start: 2199.38s | End: 2199.50s
Word: ' way' | Start: 2199.50s | End: 2199.80s
Word: ' to' | Start: 2199.80s | End: 2200.26s
Word: ' really' | Start: 2200.54s | End: 2200.88s
Word: ' differentiate' | Start: 2200.88s | End: 2201.52s
Word: ' that' | Start: 2201.52s | End: 2202.14s
Word: ' content,' | Start: 2202.14s | End: 2202.64s
Word: ' whether' | Start: 2202.64s | End: 2202.92s
Word: ' it's' | Start: 2202.92s | End: 2203.26s
Word: ' through,' | Start: 2203.26s | End: 2203.86s
Word: ' you' | Start: 2203.86s | End: 2204.32s
Word: ' know,' | Start: 2204.32s | End: 2204.48s
Word: ' making' | Start: 2204.48s | End: 2204.68s
Word: ' it' | Start: 2204.68s | End: 2205.08s
Word: ' like' | Start: 2205.08s | End: 2205.80s
Word: ' super' | Start: 2205.80s | End: 2206.48s
Word: ' professional' | Start: 2206.48s | End: 2207.10s
Word: ' and' | Start: 2207.16s | End: 2207.50s
Word: ' super' | Start: 2207.50s | End: 2207.90s
Word: ' awesome,' | Start: 2207.90s | End: 2208.40s
Word: ' or' | Start: 2208.40s | End: 2209.22s
Word: ' whether' | Start: 2209.22s | End: 2209.50s
Word: ' it's' | Start: 2209.50s | End: 2209.76s
Word: ' going' | Start: 2209.76s | End: 2210.02s
Word: ' to' | Start: 2210.02s | End: 2210.38s
Word: ' another' | Start: 2210.38s | End: 2212.22s
Word: ' layer' | Start: 2212.22s | End: 2212.78s
Word: ' of' | Start: 2212.78s | End: 2213.00s
Word: ' depth,' | Start: 2213.00s | End: 2213.32s
Word: ' or' | Start: 2213.32s | End: 2213.60s
Word: ' to' | Start: 2213.60s | End: 2213.78s
Word: ' your' | Start: 2213.78s | End: 2214.12s
Word: ' point,' | Start: 2214.12s | End: 2214.64s
Word: ' including' | Start: 2215.20s | End: 2215.62s
Word: ' like' | Start: 2215.62s | End: 2216.08s
Word: ' a' | Start: 2216.08s | End: 2216.74s
Word: ' certificate' | Start: 2216.74s | End: 2217.28s
Word: ' with' | Start: 2217.28s | End: 2218.28s
Word: ' it' | Start: 2218.28s | End: 2218.48s
Word: ' or' | Start: 2218.48s | End: 2218.64s
Word: ' something' | Start: 2218.64s | End: 2219.16s
Word: ' like' | Start: 2219.16s | End: 2219.40s
Word: ' that.' | Start: 2219.40s | End: 2219.76s
Word: ' But' | Start: 2219.76s | End: 2219.80s
Word: ' I' | Start: 2219.80s | End: 2219.90s
Word: ' just,' | Start: 2219.90s | End: 2220.28s
Word: ' I' | Start: 2220.28s | End: 2221.90s
Word: ' don't' | Start: 2221.90s | End: 2222.02s
Word: ' know,' | Start: 2222.02s | End: 2222.24s
Word: ' man.' | Start: 2222.24s | End: 2222.58s
Word: ' I' | Start: 2222.84s | End: 2222.94s
Word: ' just' | Start: 2222.94s | End: 2225.58s
Word: ' don't' | Start: 2225.58s | End: 2225.78s
Word: ' really,' | Start: 2225.78s | End: 2226.06s
Word: ' I' | Start: 2226.06s | End: 2226.82s
Word: ' don't' | Start: 2226.82s | End: 2227.92s
Word: ' really' | Start: 2227.92s | End: 2228.56s
Word: ' think' | Start: 2228.56s | End: 2228.80s
Word: ' people' | Start: 2228.80s | End: 2229.14s
Word: ' need' | Start: 2229.14s | End: 2229.46s
Word: ' a' | Start: 2229.46s | End: 2229.60s
Word: ' certificate' | Start: 2229.60s | End: 2230.04s
Word: ' to' | Start: 2230.04s | End: 2231.06s
Word: ' do' | Start: 2231.06s | End: 2232.04s
Word: ' this' | Start: 2232.04s | End: 2232.26s
Word: ' kind' | Start: 2232.26s | End: 2232.42s
Word: ' of' | Start: 2232.42s | End: 2232.52s
Word: ' work.' | Start: 2232.52s | End: 2232.74s
Word: ' I' | Start: 2232.74s | End: 2232.86s
Word: ' I' | Start: 2232.86s | End: 2232.86s
Word: ' think' | Start: 2232.86s | End: 2232.96s
Word: ' what' | Start: 2232.96s | End: 2233.12s
Word: ' you' | Start: 2233.12s | End: 2233.22s
Word: ' really' | Start: 2233.22s | End: 2233.48s
Word: ' need' | Start: 2233.48s | End: 2233.72s
Word: ' is' | Start: 2233.72s | End: 2234.14s
Word: ' some' | Start: 2234.14s | End: 2234.72s
Word: ' experience,' | Start: 2234.72s | End: 2235.34s
Word: ' and' | Start: 2235.40s | End: 2235.52s
Word: ' it' | Start: 2235.52s | End: 2235.72s
Word: ' can' | Start: 2235.72s | End: 2235.90s
Word: ' be' | Start: 2235.90s | End: 2236.10s
Word: ' useful' | Start: 2236.10s | End: 2236.48s
Word: ' to' | Start: 2236.48s | End: 2236.76s
Word: ' get' | Start: 2236.76s | End: 2236.94s
Word: ' a' | Start: 2236.94s | End: 2237.06s
Word: ' certificate' | Start: 2237.06s | End: 2237.50s
Word: ' just' | Start: 2238.54s | End: 2239.08s
Word: ' to' | Start: 2239.08s | End: 2239.26s
Word: ' demonstrate' | Start: 2239.26s | End: 2239.74s
Word: ' that' | Start: 2239.74s | End: 2240.18s
Word: ' you' | Start: 2240.18s | End: 2240.36s
Word: ' have' | Start: 2240.36s | End: 2240.64s
Word: ' some' | Start: 2240.64s | End: 2240.84s
Word: ' experience' | Start: 2240.84s | End: 2241.18s
Word: ' and' | Start: 2241.36s | End: 2241.48s
Word: ' you' | Start: 2241.48s | End: 2241.56s
Word: ' have' | Start: 2241.56s | End: 2241.78s
Word: ' some' | Start: 2241.78s | End: 2241.96s
Word: ' knowledge.' | Start: 2241.96s | End: 2242.48s
Word: ' But' | Start: 2243.40s | End: 2246.88s
Word: ' I' | Start: 2246.88s | End: 2246.96s
Word: ' don't' | Start: 2246.96s | End: 2247.14s
Word: ' think' | Start: 2247.14s | End: 2247.36s
Word: ' that's' | Start: 2247.36s | End: 2247.72s
Word: ' for' | Start: 2247.72s | End: 2248.00s
Word: ' us' | Start: 2248.00s | End: 2248.30s
Word: ' to' | Start: 2248.30s | End: 2248.46s
Word: ' develop.' | Start: 2248.46s | End: 2248.90s
Word: ' I' | Start: 2248.90s | End: 2248.98s
Word: ' think' | Start: 2248.98s | End: 2249.20s
Word: ' that' | Start: 2249.20s | End: 2249.42s
Word: ' if' | Start: 2249.42s | End: 2249.60s
Word: ' we' | Start: 2249.60s | End: 2249.74s
Word: ' were' | Start: 2249.74s | End: 2249.88s
Word: ' going' | Start: 2249.88s | End: 2250.00s
Word: ' to' | Start: 2250.00s | End: 2250.20s
Word: ' make' | Start: 2250.20s | End: 2251.24s
Word: ' a' | Start: 2251.24s | End: 2251.38s
Word: ' piece' | Start: 2251.38s | End: 2251.58s
Word: ' of' | Start: 2251.58s | End: 2251.70s
Word: ' content' | Start: 2251.70s | End: 2252.06s
Word: ' that' | Start: 2252.64s | End: 2252.90s
Word: ' was' | Start: 2252.90s | End: 2253.44s
Word: ' focused' | Start: 2253.44s | End: 2254.44s
Word: ' on' | Start: 2254.44s | End: 2254.76s
Word: ' arming' | Start: 2254.76s | End: 2255.10s
Word: ' people' | Start: 2255.10s | End: 2255.40s
Word: ' with' | Start: 2255.54s | End: 2255.62s
Word: ' a' | Start: 2255.62s | End: 2255.72s
Word: ' whole' | Start: 2255.72s | End: 2256.00s
Word: ' whack' | Start: 2256.00s | End: 2256.36s
Word: ' ton' | Start: 2256.36s | End: 2256.54s
Word: ' of' | Start: 2256.54s | End: 2256.66s
Word: ' knowledge,' | Start: 2256.66s | End: 2257.20s
Word: ' something' | Start: 2258.40s | End: 2258.86s
Word: ' like' | Start: 2258.86s | End: 2259.14s
Word: ' how' | Start: 2259.14s | End: 2259.30s
Word: ' to' | Start: 2259.30s | End: 2259.38s
Word: ' build' | Start: 2259.38s | End: 2259.50s
Word: ' a' | Start: 2259.50s | End: 2259.60s
Word: ' PC,' | Start: 2259.60s | End: 2260.04s
Word: ' the' | Start: 2260.12s | End: 2260.22s
Word: ' last' | Start: 2260.22s | End: 2260.42s
Word: ' guide' | Start: 2260.42s | End: 2260.58s
Word: ' you'll' | Start: 2260.58s | End: 2260.78s
Word: ' ever' | Start: 2260.78s | End: 2260.92s
Word: ' need.' | Start: 2260.92s | End: 2261.22s
Word: ' I' | Start: 2261.14s | End: 2261.52s
Word: ' think' | Start: 2261.52s | End: 2261.64s
Word: ' that's' | Start: 2261.64s | End: 2261.88s
Word: ' a' | Start: 2261.88s | End: 2261.96s
Word: ' great' | Start: 2261.96s | End: 2262.18s
Word: ' example' | Start: 2262.18s | End: 2262.60s
Word: ' of' | Start: 2262.60s | End: 2262.86s
Word: ' something' | Start: 2262.86s | End: 2263.10s
Word: ' that' | Start: 2263.10s | End: 2263.26s
Word: ' we' | Start: 2263.26s | End: 2263.38s
Word: ' could' | Start: 2263.38s | End: 2263.58s
Word: ' have' | Start: 2263.58s | End: 2263.72s
Word: ' easily' | Start: 2263.72s | End: 2264.22s
Word: ' charged' | Start: 2264.22s | End: 2264.60s
Word: ' for.' | Start: 2264.60s | End: 2265.12s
Word: ' And' | Start: 2265.62s | End: 2265.66s
Word: ' the' | Start: 2265.66s | End: 2266.26s
Word: ' kind' | Start: 2266.26s | End: 2266.42s
Word: ' of' | Start: 2266.42s | End: 2266.50s
Word: ' thing' | Start: 2266.50s | End: 2266.68s
Word: ' where' | Start: 2266.68s | End: 2266.86s
Word: ' there' | Start: 2266.86s | End: 2267.02s
Word: ' would' | Start: 2267.02s | End: 2267.18s
Word: ' obviously' | Start: 2267.18s | End: 2267.96s
Word: ' be' | Start: 2267.96s | End: 2268.38s
Word: ' enough' | Start: 2268.38s | End: 2268.70s
Word: ' demand' | Start: 2268.70s | End: 2269.16s
Word: ' to' | Start: 2269.16s | End: 2269.92s
Word: ' make' | Start: 2269.92s | End: 2270.56s
Word: ' a' | Start: 2270.56s | End: 2270.94s
Word: ' ton' | Start: 2270.94s | End: 2272.16s
Word: ' of' | Start: 2272.16s | End: 2272.36s
Word: ' money,' | Start: 2272.36s | End: 2272.66s
Word: ' you' | Start: 2272.66s | End: 2273.24s
Word: ' know,' | Start: 2273.24s | End: 2273.36s
Word: ' for' | Start: 2273.36s | End: 2273.46s
Word: ' the' | Start: 2273.46s | End: 2273.56s
Word: ' business' | Start: 2273.56s | End: 2273.80s
Word: ' development' | Start: 2273.80s | End: 2274.18s
Word: ' team.' | Start: 2274.18s | End: 2274.70s
Word: ' Like,' | Start: 2276.56s | End: 2276.86s
Word: ' I' | Start: 2276.86s | End: 2276.90s
Word: ' think' | Start: 2276.90s | End: 2277.04s
Word: ' the' | Start: 2277.04s | End: 2277.22s
Word: ' first' | Start: 2277.22s | End: 2277.52s
Word: ' one' | Start: 2277.52s | End: 2277.80s
Word: ' ended' | Start: 2277.80s | End: 2278.10s
Word: ' up' | Start: 2278.10s | End: 2278.26s
Word: ' getting' | Start: 2278.26s | End: 2278.46s
Word: ' like' | Start: 2278.46s | End: 2278.74s
Word: ' 10' | Start: 2278.74s | End: 2279.36s
Word: ' million' | Start: 2279.36s | End: 2279.74s
Word: ' views' | Start: 2279.74s | End: 2280.08s
Word: ' or' | Start: 2280.08s | End: 2280.26s
Word: ' something' | Start: 2280.26s | End: 2280.50s
Word: ' like' | Start: 2280.50s | End: 2280.76s
Word: ' that.' | Start: 2280.76s | End: 2281.14s
Word: ' And' | Start: 2281.58s | End: 2281.72s
Word: ' the' | Start: 2281.72s | End: 2281.86s
Word: ' second' | Start: 2281.86s | End: 2282.14s
Word: ' one,' | Start: 2282.14s | End: 2282.50s
Word: ' I' | Start: 2282.50s | End: 2282.52s
Word: ' think,' | Start: 2282.52s | End: 2282.70s
Word: ' is' | Start: 2282.70s | End: 2282.82s
Word: ' already' | Start: 2282.82s | End: 2283.10s
Word: ' closing' | Start: 2283.10s | End: 2283.46s
Word: ' in' | Start: 2283.46s | End: 2283.70s
Word: ' on' | Start: 2283.70s | End: 2283.88s
Word: ' like' | Start: 2283.88s | End: 2284.06s
Word: ' two' | Start: 2284.06s | End: 2284.26s
Word: ' or' | Start: 2284.26s | End: 2284.42s
Word: ' three.' | Start: 2284.42s | End: 2284.96s
Word: ' Like,' | Start: 2285.24s | End: 2285.48s
Word: ' it's' | Start: 2285.48s | End: 2285.94s
Word: ' a' | Start: 2285.94s | End: 2286.04s
Word: ' really' | Start: 2286.04s | End: 2286.42s
Word: ' valuable' | Start: 2286.42s | End: 2286.90s
Word: ' resource.' | Start: 2286.90s | End: 2287.76s
Word: ' it's' | Start: 2288.66s | End: 2288.86s
Word: ' just' | Start: 2288.86s | End: 2289.10s
Word: ' with' | Start: 2289.10s | End: 2291.38s
Word: ' that' | Start: 2291.38s | End: 2291.56s
Word: ' in' | Start: 2291.56s | End: 2291.72s
Word: ' mind' | Start: 2291.72s | End: 2291.92s
Word: ' then' | Start: 2291.92s | End: 2292.12s
Word: ' why' | Start: 2292.12s | End: 2292.44s
Word: ' are' | Start: 2292.44s | End: 2292.62s
Word: ' we' | Start: 2292.62s | End: 2292.74s
Word: ' paywalling' | Start: 2292.74s | End: 2293.28s
Word: ' it' | Start: 2293.28s | End: 2293.44s
Word: ' right' | Start: 2293.44s | End: 2294.22s
Word: ' like' | Start: 2294.22s | End: 2294.90s
Word: ' we' | Start: 2294.90s | End: 2295.02s
Word: ' don't' | Start: 2295.02s | End: 2295.18s
Word: ' really' | Start: 2295.18s | End: 2295.36s
Word: ' paywall' | Start: 2295.36s | End: 2295.86s
Word: ' anything' | Start: 2296.06s | End: 2296.38s
Word: ' that' | Start: 2296.38s | End: 2297.06s
Word: ' is' | Start: 2297.06s | End: 2297.20s
Word: ' valuable' | Start: 2297.20s | End: 2297.66s
Word: ' beyond' | Start: 2297.66s | End: 2298.10s
Word: ' just' | Start: 2298.10s | End: 2298.44s
Word: ' kind' | Start: 2298.44s | End: 2298.66s
Word: ' of' | Start: 2298.66s | End: 2298.86s
Word: ' hanging' | Start: 2298.86s | End: 2299.38s
Word: ' out' | Start: 2299.38s | End: 2299.60s
Word: ' with' | Start: 2299.60s | End: 2299.78s
Word: ' us' | Start: 2299.78s | End: 2300.10s
Word: ' right' | Start: 2300.10s | End: 2301.22s
Word: ' originals' | Start: 2301.22s | End: 2303.00s
Word: ' 12' | Start: 2303.00s | End: 2303.24s
Word: '.5' | Start: 2303.24s | End: 2304.08s
Word: ' 12' | Start: 2304.08s | End: 2304.40s
Word: '.5' | Start: 2304.40s | End: 2305.08s
Word: ' on' | Start: 2305.36s | End: 2305.58s
Word: ' the' | Start: 2305.58s | End: 2305.68s
Word: ' og' | Start: 2305.68s | End: 2305.86s
Word: ' wow' | Start: 2305.86s | End: 2306.48s
Word: ' okay' | Start: 2306.48s | End: 2307.14s
Word: ' it's' | Start: 2307.14s | End: 2307.50s
Word: ' even' | Start: 2307.50s | End: 2307.66s
Word: ' more' | Start: 2307.66s | End: 2307.90s
Word: ' than' | Start: 2307.90s | End: 2308.06s
Word: ' i' | Start: 2308.06s | End: 2308.20s
Word: ' thought' | Start: 2308.20s | End: 2308.44s
Word: ' and' | Start: 2308.44s | End: 2309.60s
Word: ' that's' | Start: 2309.60s | End: 2309.82s
Word: ' a' | Start: 2309.82s | End: 2309.94s
Word: ' long' | Start: 2309.94s | End: 2310.26s
Word: ' video' | Start: 2310.26s | End: 2310.60s
Word: ' that's' | Start: 2310.60s | End: 2310.92s
Word: ' a' | Start: 2310.92s | End: 2311.02s
Word: ' dense' | Start: 2311.02s | End: 2311.34s
Word: ' video' | Start: 2311.34s | End: 2311.62s
Word: ' that' | Start: 2311.62s | End: 2311.84s
Word: ' That' | Start: 2311.88s | End: 2311.88s
Word: ' is' | Start: 2311.88s | End: 2312.02s
Word: ' not' | Start: 2312.02s | End: 2312.22s
Word: ' an' | Start: 2312.22s | End: 2312.38s
Word: ' entertaining' | Start: 2312.38s | End: 2312.84s
Word: ' video.' | Start: 2312.84s | End: 2313.32s
Word: ' That' | Start: 2313.46s | End: 2313.54s
Word: ' is' | Start: 2313.54s | End: 2313.66s
Word: ' an' | Start: 2313.66s | End: 2313.82s
Word: ' educational' | Start: 2313.82s | End: 2314.56s
Word: ' video' | Start: 2314.56s | End: 2315.02s
Word: ' that' | Start: 2315.02s | End: 2315.28s
Word: ' we' | Start: 2315.28s | End: 2315.48s
Word: ' obviously' | Start: 2315.48s | End: 2316.62s
Word: ' give' | Start: 2316.62s | End: 2317.02s
Word: ' our,' | Start: 2317.02s | End: 2317.42s
Word: ' you' | Start: 2317.66s | End: 2317.78s
Word: ' know,' | Start: 2317.78s | End: 2317.92s
Word: ' some' | Start: 2317.92s | End: 2318.00s
Word: ' of' | Start: 2318.00s | End: 2318.12s
Word: ' our' | Start: 2318.12s | End: 2318.30s
Word: ' entertainment' | Start: 2318.30s | End: 2318.88s
Word: ' flair' | Start: 2318.88s | End: 2319.34s
Word: ' to,' | Start: 2319.34s | End: 2319.76s
Word: ' but' | Start: 2320.06s | End: 2320.18s
Word: ' it's' | Start: 2320.18s | End: 2320.36s
Word: ' meant' | Start: 2320.36s | End: 2320.56s
Word: ' to' | Start: 2320.56s | End: 2320.72s
Word: ' be' | Start: 2320.72s | End: 2321.00s
Word: ' a' | Start: 2321.00s | End: 2321.30s
Word: ' resource.' | Start: 2321.30s | End: 2322.18s
Word: ' New' | Start: 2323.80s | End: 2324.04s
Word: ' one' | Start: 2324.04s | End: 2324.20s
Word: ' is' | Start: 2324.20s | End: 2324.34s
Word: ' 3' | Start: 2324.34s | End: 2324.52s
Word: '.7' | Start: 2324.52s | End: 2325.04s
Word: ' now.' | Start: 2325.04s | End: 2325.26s
Word: ' 3' | Start: 2325.30s | End: 2325.44s
Word: '.7' | Start: 2325.44s | End: 2325.96s
Word: ' on' | Start: 2325.96s | End: 2326.10s
Word: ' the' | Start: 2326.10s | End: 2326.18s
Word: ' new' | Start: 2326.18s | End: 2326.26s
Word: ' one.' | Start: 2326.26s | End: 2326.42s
Word: ' Okay,' | Start: 2326.44s | End: 2326.68s
Word: ' so' | Start: 2326.68s | End: 2326.74s
Word: ' yeah,' | Start: 2326.74s | End: 2326.98s
